OrderID,Date,Time,CustomerName,Item,Category,Quantity,UnitPrice,TotalPrice,PaymentMethod,DineInTakeaway,Rating,WaiterName,Branch,PreparationTime(min),TipAmount
1001,1/1/2025,10:00:00,Customer 1,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1002,1/2/2025,10:00:00,Customer 2,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1003,1/3/2025,10:00:00,Customer 3,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1004,1/4/2025,10:00:00,Customer 4,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
1005,1/5/2025,10:00:00,Customer 5,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
1006,1/6/2025,10:00:00,Customer 6,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1007,1/7/2025,10:00:00,Customer 7,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1008,1/8/2025,10:00:00,Customer 8,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1009,1/9/2025,10:00:00,Customer 9,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
1010,1/10/2025,10:00:00,Customer 10,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
1011,1/11/2025,10:00:00,Customer 11,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1012,1/12/2025,10:00:00,Customer 12,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1013,1/13/2025,10:00:00,Customer 13,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1014,1/14/2025,10:00:00,Customer 14,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
1015,1/15/2025,10:00:00,Customer 15,Sushi,Japanese,2,100,200,Cash,Takeaway,5,Hassan,Heliopolis,30,8
1016,1/16/2025,10:00:00,Customer 16,Burger,Fast Food,2,50,100,Cash,Dine-in,4,Ahmed,Downtown,15,5
1017,1/17/2025,10:00:00,Customer 17,Pizza,Italian,1,80,80,Credit Card,Takeaway,5,Sara,Zamalek,20,10
1018,1/18/2025,10:00:00,Customer 18,Salad,Healthy,3,40,120,Cash,Dine-in,3,Omar,Nasr City,10,3
1019,1/19/2025,10:00:00,Customer 19,Pasta,Italian,1,70,70,Mobile Wallet,Dine-in,4,Laila,Maadi,25,7
